Blog	nature	cream	details	lovely	yours	flight	machine	unfortunately	buying	garden	hall	previous	six	continue	exciting	drink	human	hospital	smell	h	woke	built	bear	covered	wild	november	letter	w	count	herself	greatest	nd	fear	worst	natural	letting	ate	gotten	de	calls	west	speed	obviously	showing	meaning	co	throughout	regular	artist	creative	interest	mentioned	presents	thanksgiving	north	goodbye	vacation	figured	okay	island	changing	difficult	south	cross	afraid	plane	kill	begin	moon	title	staying	created	hat	chair	seconds	cards	legs	sea	teach	drove	ya	general	crying	currently	reality	honest	fat	appreciate	station	pack	among	posts	mood	began	opening	thinks	film	chris	quality	silly	french	push	particular	ourselves	changes	hasn	jump	bet	language	nervous	program	series	january	credit	sugar	members	scene	cost	beyond	smart	radio	dr	paid	paint	tea	war	soft	immediately	dry	managed	bowl	involved	lay	eventually	background	pants	dirty	dogs	king	santa	celebration	dropped	asleep	slowly	mad	lesson	actual	healthy	fingers	result	offer	consider	river	followed	wet	easily	action	bird	david	article	halloween	contact	board	events	included	wine	magic	system	excuse	match	scared	whenever	inspired	key	dressed	cheap	adventure	include	sight	taught	skin	gotta	search	bus	comfortable	album	strange	hearing	hole	literally	mail	bottle	collection	lines	player	uncle	shower	ring	lie	performance	joined	image	packed	effort	becoming	lazy	difference	anywhere	anniversary	james	mountain	hearts	closed	february	position	seat	trust	row	apartment	focus	hill	birth	ah	rose	jesus	walls	per	serve	planning	shall	race	ends	blame	rules	besides	mini	lord	sale	seven	scary	edge	doctor	festival	discovered	friendly	michael	restaurant	despite	challenge	blast	concert	sharing	carry	videos	latest	california	pre	san	lessons	screen	grab	mixed	helps	character	laughed	faces	term	kinda	community	kiss	according	bill	boring	planned	holidays	dying	familiar	journey	stupid	further	tells	laid	shape	perhaps	angel	ha	blogs	midnight	shoot	mess	breaking	health	jack	heads	honestly	wanting	teeth	force	grade	lake	practice	reminds	apple	eve	battle	higher	cd	field	design	member	doors	checked	cheese	wanna	saved	tickets	handle	slept	reminded	camp	nobody	musical	cousin	magazine	colors	doubt	airport	studio	feelings	square	brand	ear	harder	giant	younger	shouldn	bringing	golden	crowd	teacher	pulling	expensive	finger	sometime	direction	breath	smoke	birds	students	hardly	interview	subject	common	mirror	animals	typical	bags	remembered	progress	wood	product	allowed	ears	sisters	hide	setting	press	session	checking	hadn	expected	build	issues	thankful	degrees	positive	modern	served	plenty	states	hungry	aside	tough	skills	suddenly	arm	notes	grandma	fix	sang	mid	joke	hung	cash	kinds	successful	babies	picking	daddy	national	passing	ma	guest	painting	gas	goal	pray	release	east	rolling	social	continued	shut	terrible	mary	george	parking	blow	various	rich	decision	popular	loss	talent	hilarious	describe	respect	classic	delicious	falls	pizza	certainly	coast	tom	via	student	ending	cell	otherwise	success	bye	streets	university	begins	eggs	easter	yard	youth	heading	relationship	results	forth	nose	fashion	drinking	swear	ain	distance	obvious	lonely	projects	puts	block	effect	honey	everybody	review	former	likely	numbers	female	pics	talented	fully	towards	value	shots	gifts	officially	highly	freedom	neck	agree	barely	related	mike	signed	annual	master	excitement	runs	crew	ocean	fourth	chose	sex	spread	flash	burn	pure
The Loco Adventures of Sarah and Andrew	7	19	3	46	2	15	1	15	6	17	4	5	13	9	26	10	3	13	3	6	9	6	29	8	18	9	4	4	6	4	1	1	2	11	8	2	16	18	2	13	22	2	6	7	17	2	4	1	1	4	4	6	10	6	6	1	12	5	0	25	5	6	5	4	2	12	6	12	4	3	2	9	11	4	5	3	16	24	12	33	15	20	8	4	3	5	19	4	5	7	6	8	1	13	3	7	0	3	1	15	4	4	2	0	4	7	9	4	12	6	16	5	11	20	5	9	5	4	4	11	1	11	7	19	27	30	4	1	2	0	7	5	4	1	4	16	3	4	5	13	9	8	13	8	7	1	4	16	5	3	3	3	32	6	18	2	4	4	12	9	2	2	4	2	5	0	1	12	5	3	6	9	3	9	7	4	20	13	2	4	11	1	15	10	4	2	1	1	7	5	6	5	3	10	4	24	10	4	2	1	7	4	6	1	6	8	3	8	6	8	35	3	8	10	5	4	1	6	40	5	8	9	2	1	11	3	6	12	4	11	21	6	8	2	8	9	4	0	9	7	7	12	3	8	4	5	6	6	3	8	8	0	1	1	3	21	4	8	9	6	0	2	6	2	14	9	4	4	16	6	3	9	11	7	3	7	2	7	15	4	3	6	7	11	10	27	13	3	4	8	2	9	7	3	3	5	7	5	4	73	14	3	10	5	1	2	4	8	1	4	8	8	13	2	2	6	2	15	5	17	1	2	27	0	12	1	9	0	7	7	0	2	5	4	3	12	0	8	4	18	5	4	10	6	3	1	0	5	12	10	0	5	3	6	8	3	8	7	3	3	3	4	9	10	1	3	3	4	7	5	8	4	4	0	10	7	6	5	4	12	7	1	5	8	6	4	4	32	2	6	3	7	11	5	2	4	30	4	4	11	3	9	2	10	12	12	4	0	3	3	5	4	4	6	3	13	16	1	1	3	3	2	1	0	13	4	4	5	34	27	11	0	4	5	1	17	5	1	1	1	3	2	18	1	23	41	12	0	5	1	4	1	8	0	8	2	1	9	1	2	8	2	3	3	7	0	7	3	2	4	1	0	2	5	5	0	2	6	5	2	0	4	4	5	5	2	2	1	21	1	10	2	16	7	1	6	4	3	5	0
2Step Vinyl Soul	0	1	3	11	5	6	1	3	6	3	10	6	12	0	0	1	2	3	0	11	1	6	1	6	5	10	5	7	4	3	9	8	3	1	11	2	0	0	6	1	8	2	0	4	2	20	3	6	12	1	8	8	2	0	5	3	1	0	0	4	10	0	8	2	1	1	0	2	1	11	2	8	3	1	1	0	0	1	2	1	19	7	6	2	2	5	1	0	7	2	4	1	4	22	5	2	15	14	9	0	6	4	3	4	5	1	1	2	2	0	6	9	9	4	8	13	14	7	1	0	44	6	1	3	0	3	5	1	2	7	1	3	2	5	16	0	0	0	22	1	3	4	0	0	5	0	0	0	0	1	3	0	5	15	0	1	2	1	26	2	0	2	2	2	19	0	13	3	0	0	0	1	1	2	1	0	0	7	0	1	0	19	3	3	0	337	6	1	1	2	0	0	7	1	12	0	0	1	2	7	16	2	0	2	5	0	0	1	2	37	4	2	1	8	1	0	2	1	2	1	3	0	0	1	4	1	1	1	2	2	3	0	2	0	0	4	5	12	21	0	2	0	2	12	0	18	0	4	3	0	5	2	2	0	2	15	3	10	1	0	0	4	2	1	0	2	1	1	8	1	6	31	0	0	3	0	0	2	0	6	9	3	2	10	7	0	3	2	0	3	4	2	7	2	0	1	1	8	0	0	2	0	4	0	2	2	77	1	0	22	2	1	0	20	1	1	2	0	1	1	14	9	2	8	0	1	1	28	4	1	2	4	2	4	0	1	3	5	2	2	0	1	1	4	0	0	0	0	0	1	22	1	2	1	0	2	0	8	0	1	2	1	1	20	1	1	6	6	0	3	0	5	5	2	1	2	33	3	0	9	1	2	0	2	2	0	4	1	3	14	22	1	0	10	0	11	0	3	3	6	5	1	11	0	0	2	1	44	7	0	5	9	0	2	5	8	0	1	15	10	0	30	2	11	0	0	7	25	0	3	0	0	1	5	3	1	2	0	1	49	0	12	4	0	0	0	0	4	0	1	1	2	0	0	0	1	36	2	1	33	1	5	0	5	3	13	2	9	0	3	3	0	4	1	2	3	1	0	0	5	6	0	2	1	0	5	21	2	9	0	1	2	0	0	2	2	3	0	1	3
The World According to ME	2	4	7	8	4	12	4	6	5	2	23	8	18	5	4	11	10	35	2	6	6	4	5	6	10	33	4	6	6	4	4	7	1	6	4	1	4	2	4	9	10	5	4	5	4	18	7	7	10	5	7	16	5	2	51	3	0	4	13	8	1	1	3	2	2	4	4	6	8	9	2	5	8	1	1	0	0	3	1	13	4	19	4	10	3	4	2	1	8	2	14	7	2	12	8	4	77	16	4	4	5	3	2	2	7	6	0	3	5	1	7	8	15	6	1	13	17	11	5	2	8	32	11	4	0	10	1	8	8	5	4	4	0	7	5	18	4	4	15	16	1	2	1	0	1	0	5	1	1	3	3	5	6	18	4	5	8	6	209	10	7	6	13	8	14	6	8	13	2	6	2	3	4	5	3	3	1	16	2	3	12	4	8	9	1	14	20	10	2	2	14	5	8	8	9	5	1	21	6	14	5	6	5	4	1	1	4	5	30	27	5	1	6	9	1	2	3	7	0	3	5	5	5	9	0	2	9	2	4	6	5	0	1	4	2	1	11	16	3	0	4	13	38	4	0	15	14	8	7	7	13	4	0	5	13	31	7	141	3	5	2	3	3	16	4	6	5	0	8	4	13	44	1	4	2	2	19	1	11	4	0	0	2	11	3	8	0	6	3	5	3	7	74	1	4	3	4	2	6	2	4	1	2	2	1	6	22	6	3	12	16	1	2	2	7	30	4	2	9	2	20	26	6	4	0	5	7	4	5	4	3	1	0	5	4	2	3	18	6	8	2	2	3	4	6	2	3	3	3	11	7	14	4	0	4	1	3	11	2	2	2	4	2	4	4	0	20	1	3	2	4	2	8	2	4	0	3	3	7	1	1	5	1	2	2	4	2	3	5	3	9	2	5	10	2	2	0	1	1	15	6	2	14	7	5	1	5	19	7	4	5	3	1	5	18	8	18	27	8	3	5	4	4	8	2	0	5	7	0	5	1	10	6	15	10	3	2	13	5	5	8	2	5	2	3	0	9	1	2	3	1	6	32	6	4	3	3	0	1	5	5	2	14	6	2	15	9	22	2	6	4	0	2	3	0	1	7	2	1	9	9	0	2	5	9	5	10	4	3	0	2	6	0	2	2	4	4	1	1	0
The Smudge of Ashen Fluff	1	0	2	0	4	0	11	0	0	0	3	2	4	2	0	0	2	1	1	0	0	3	8	5	5	4	1	9	1	2	0	2	0	0	1	0	1	0	12	1	5	2	1	1	2	1	2	0	2	5	0	0	3	1	2	5	1	0	3	4	0	2	3	2	0	3	10	0	8	5	0	2	4	1	8	0	0	12	0	1	3	3	0	1	1	0	2	1	1	0	5	2	7	1	6	0	7	3	3	0	1	2	2	0	2	2	2	0	1	0	0	6	4	2	4	3	5	0	3	3	21	0	1	0	0	7	1	1	0	0	2	1	0	0	6	0	6	1	8	3	2	0	1	0	2	0	2	0	2	1	0	0	22	2	3	1	3	19	12	2	1	0	0	0	2	3	9	0	1	1	1	0	2	1	1	3	0	4	0	0	8	4	3	6	1	101	3	1	0	0	1	3	10	3	4	1	0	0	5	37	1	3	0	1	0	2	2	1	0	8	0	2	1	6	1	0	2	1	1	0	3	0	0	11	2	2	0	1	1	5	0	1	0	0	0	0	4	4	12	0	2	2	2	1	2	8	0	1	0	0	21	0	0	8	6	2	7	3	0	1	0	0	1	0	0	6	0	1	5	2	2	6	0	4	3	1	4	2	0	1	1	2	2	3	3	0	0	8	1	0	1	2	3	3	0	2	1	0	1	0	0	1	1	3	2	1	21	1	0	0	4	0	0	1	0	3	1	0	1	4	5	8	0	9	3	1	1	41	1	0	2	3	1	5	0	0	0	2	3	0	0	0	2	0	0	0	1	2	0	0	15	1	1	3	1	0	0	0	1	0	0	0	2	3	2	0	4	14	1	1	1	1	0	2	1	0	16	0	0	1	0	0	4	0	1	0	5	1	0	3	1	0	1	4	3	0	1	0	4	6	0	3	5	0	0	0	0	23	0	3	7	0	0	0	2	4	1	3	0	1	0	2	0	2	0	1	1	16	5	16	0	0	6	10	12	0	0	1	0	1	2	2	1	1	0	0	1	21	2	1	0	0	1	1	0	2	5	1	0	5	0	1	1	2	1	3	1	1	3	1	0	0	0	0	0	0	0	0	0	3	0	1	0	2	1	2	2	0	1	0	1	0	0	2	0	0	0	0	1	7
Feel My Felt	8	5	1	6	1	0	1	0	2	14	0	1	0	1	4	1	1	1	2	0	1	0	2	1	6	0	0	1	1	0	1	0	2	0	0	0	3	2	0	4	1	2	0	1	1	1	0	0	2	2	0	2	2	2	0	0	0	1	0	1	1	1	0	2	1	0	0	0	2	1	1	1	0	0	0	4	2	5	2	0	4	1	5	0	0	0	1	4	0	0	1	1	0	1	2	2	0	0	1	1	1	1	0	0	5	0	7	4	0	0	2	0	4	0	2	0	0	2	0	0	1	0	2	11	2	2	3	0	3	0	5	0	2	0	0	0	2	0	3	2	0	3	1	0	0	2	0	2	3	0	1	1	0	1	3	0	2	10	1	0	7	2	0	0	0	0	1	1	2	0	2	0	3	0	1	1	0	0	1	5	0	0	1	3	2	1	0	0	3	0	2	1	3	0	0	0	0	0	0	0	0	3	3	0	2	1	1	1	2	0	1	2	2	1	0	2	0	2	1	1	0	1	1	7	9	1	0	0	1	3	1	1	1	0	4	1	8	11	0	0	0	1	0	2	0	0	0	0	0	1	0	4	0	0	4	2	1	0	1	0	4	1	2	2	3	2	3	0	0	1	0	0	0	0	0	4	1	3	1	1	2	3	0	3	1	0	3	0	2	1	1	1	1	1	2	1	3	2	1	0	1	3	1	2	1	1	0	5	1	0	1	1	1	1	2	0	1	0	1	0	2	0	0	1	1	0	1	0	2	0	0	2	1	1	3	0	0	0	0	0	0	1	0	1	0	2	2	7	3	1	0	6	3	1	6	2	1	0	0	2	0	0	0	0	1	2	0	0	0	1	0	0	2	5	0	1	0	0	3	0	1	0	2	1	0	0	0	0	1	2	1	0	1	0	0	0	1	0	0	0	3	1	0	6	1	2	7	0	0	0	0	2	0	0	10	0	2	1	1	1	0	0	1	2	0	0	1	0	1	1	0	2	0	21	0	0	0	0	2	0	0	0	0	3	0	2	10	4	2	1	1	0	0	0	0	0	0	1	0	2	0	0	1	1	0	2	0	0	1	1	1	2	0	0	1	2	0	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	1	2	0	1	1	0	3
every heartbeat tells a story.	3	1	0	4	0	2	3	1	1	1	0	8	2	1	0	1	2	0	2	1	12	1	0	0	0	3	0	10	3	2	1	5	2	1	0	0	3	0	1	0	0	2	2	1	1	0	2	1	0	1	0	1	2	0	0	5	2	0	20	1	3	2	0	0	0	3	2	3	2	4	2	1	1	0	3	1	0	1	4	0	4	0	0	17	3	1	1	2	0	2	1	9	1	1	2	1	0	0	0	2	2	3	1	1	1	0	2	0	1	0	0	2	1	0	0	0	0	2	1	0	6	0	0	0	2	5	0	0	0	0	0	3	6	0	1	3	2	3	1	0	1	1	2	3	0	2	0	0	1	1	0	1	0	0	0	0	1	0	2	0	0	6	1	2	0	1	0	4	2	4	1	0	0	2	0	0	1	1	1	1	2	10	2	1	4	6	1	2	0	3	0	0	0	0	0	0	0	1	3	2	4	16	0	0	0	8	0	0	4	1	0	2	1	1	0	0	2	0	1	0	0	0	11	1	0	1	5	0	0	6	1	0	0	1	0	1	0	1	0	2	4	0	2	2	3	1	1	0	1	3	2	3	0	3	1	0	0	0	2	5	2	2	1	0	0	1	0	4	0	1	2	1	6	0	43	1	0	1	3	0	1	1	1	2	0	0	0	2	0	0	0	1	0	2	3	0	0	3	2	0	5	0	1	6	2	1	0	1	3	0	0	0	0	9	0	2	0	4	0	18	1	8	0	1	0	2	2	1	3	3	1	1	1	2	0	2	1	0	1	8	0	0	5	1	0	1	1	0	6	1	0	1	0	0	0	0	1	1	3	0	0	1	1	0	0	0	2	5	0	0	0	0	0	0	6	0	0	0	3	0	0	1	1	1	2	1	1	1	2	1	5	2	0	1	0	0	0	0	0	0	0	2	1	1	0	0	3	2	0	1	1	4	1	0	0	0	0	2	2	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	2	0	1	4	0	1	4	0	0	2	1	7	0	2	1	0	15	0	0	0	0	0	4	0	2	1	2	1	0	0	1	1	2	0	1	0	0	9	1	1	0	0	1	1	7	1	6	0	2	0	1	0	0	2	2	2	1	2	3	0	0	0	1	2	2	0
The Ketchum Family	1	13	1	0	0	0	0	0	0	2	1	1	1	0	2	5	0	8	2	0	39	0	11	3	1	0	3	0	3	43	0	2	1	0	1	2	43	16	0	3	1	0	1	7	1	1	2	3	1	2	1	0	15	4	0	0	2	17	1	0	7	0	0	0	18	0	0	6	1	0	0	0	11	18	2	4	3	2	5	0	0	1	12	0	0	0	1	0	2	2	0	0	4	2	11	11	0	0	2	7	0	9	0	2	4	1	2	3	0	7	6	0	0	0	2	1	0	1	0	4	2	0	0	9	7	1	5	0	1	0	8	1	7	1	1	9	1	6	0	25	0	5	15	4	6	1	2	5	1	0	1	1	1	0	2	1	0	0	0	0	13	0	1	0	0	0	2	1	3	3	16	0	0	0	7	1	0	0	0	1	0	0	0	0	0	0	0	5	3	0	3	17	0	1	1	5	0	2	0	0	0	2	3	1	2	1	3	4	3	0	0	0	2	0	2	8	1	0	0	0	3	1	0	2	0	1	0	1	0	0	0	0	2	0	1	1	0	6	0	0	0	50	5	0	1	0	0	1	0	5	0	1	8	4	0	0	6	0	0	4	3	0	3	0	6	5	1	13	0	5	0	0	0	3	1	0	0	0	0	0	10	3	4	0	6	1	0	1	14	7	1	0	0	1	0	10	14	0	0	6	7	0	1	5	0	0	2	0	0	0	0	3	11	0	0	2	1	21	0	1	0	0	1	2	4	0	0	2	0	0	3	6	3	0	0	0	1	0	0	14	11	4	7	7	0	1	1	0	0	5	0	0	0	1	14	0	4	1	1	1	3	1	10	0	13	3	0	3	6	0	3	7	7	1	1	3	0	0	3	0	7	0	3	3	0	4	0	1	6	11	0	0	0	0	0	0	5	10	16	0	0	0	0	2	7	1	0	1	0	7	0	0	0	5	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	5	16	3	0	1	0	0	0	1	1	0	7	0	0	1	27	37	5	0	0	0	0	1	7	1	2	7	0	0	0	0	0	6	1	1	0	0	0	0	0	2	0	167	0	1	2	0	6	6	1	0	0	2	0	3	0	0	0	0	1	1	4	0	1	0	2	0	0	2	0	0
Andrew's Blog.	9	12	3	3	2	11	11	22	8	5	3	4	3	21	11	8	11	6	5	3	30	2	5	0	1	18	6	0	6	4	11	10	12	8	7	4	20	2	6	8	2	1	5	6	2	13	22	3	9	11	8	16	5	27	1	15	16	10	24	4	2	12	4	9	17	7	6	21	0	9	9	5	5	2	3	17	3	14	4	11	5	4	4	6	15	4	3	10	13	12	3	5	9	30	18	5	3	12	13	4	6	3	4	9	10	5	9	2	8	18	90	4	19	11	4	22	4	6	4	2	12	2	3	1	3	4	1	4	8	22	5	3	8	18	9	2	1	5	8	26	20	7	13	0	1	2	10	19	4	2	10	4	5	6	6	14	10	2	7	2	42	7	3	21	17	17	65	18	0	4	10	7	6	11	3	7	9	5	4	7	4	3	1	52	23	11	2	12	5	31	5	2	6	6	0	1	7	2	6	1	11	11	17	2	4	8	10	1	6	0	3	3	10	5	7	1	9	3	75	12	10	2	3	0	8	5	5	4	5	10	7	3	3	1	17	15	12	1	3	14	4	11	0	0	5	5	16	1	9	9	25	12	6	7	1	2	14	18	2	6	3	2	5	17	1	8	4	3	6	2	5	11	6	12	16	2	2	15	1	10	4	6	2	1	2	5	13	5	3	4	5	30	0	2	21	15	6	5	10	10	0	5	5	18	4	2	7	4	3	18	9	17	11	3	5	19	10	11	8	1	2	7	8	4	4	11	27	9	21	5	9	1	2	1	7	4	2	1	11	19	2	5	2	8	9	6	2	1	36	2	10	1	1	1	22	0	5	3	6	1	0	10	3	6	4	7	1	11	4	4	10	2	12	17	2	9	1	3	2	10	5	1	2	10	5	3	5	1	2	3	3	4	9	2	5	3	3	1	4	0	10	0	7	14	10	3	14	2	3	4	8	9	3	7	1	1	5	2	0	5	10	8	5	5	4	2	3	1	32	2	28	7	4	2	9	26	10	10	3	4	5	8	13	4	4	12	1	1	26	11	1	1	7	1	9	1	2	5	3	5	11	3	6	1	3	3	4	1	4	7	0	3	0	1	11	5	4	7	8	7	0	2	3	7	1	0	8	2	2	3	1	6	9	2	5	3	3	3	2	1
Crystal's Music Blog	2	2	25	9	4	3	77	0	1	5	7	4	0	0	3	1	4	2	3	7	18	3	7	1	9	36	9	6	2	1	17	13	8	2	4	2	0	1	4	0	2	0	4	1	1	3	3	4	210	1	0	4	1	1	1	6	0	2	1	5	1	5	1	4	1	13	8	16	73	1	3	0	1	10	1	3	8	27	0	0	4	6	4	1	1	1	0	3	17	32	2	1	4	1	8	0	2	2	1	3	10	1	2	0	2	2	0	3	0	3	0	1	19	0	1	6	7	1	15	5	61	1	1	1	2	45	4	1	3	1	0	1	6	0	0	2	20	5	8	0	1	0	7	13	1	1	1	0	1	1	0	3	25	2	2	1	0	10	3	2	4	0	1	1	1	10	27	0	1	9	0	1	4	18	1	13	4	2	0	14	6	4	0	0	1	328	11	2	4	3	0	3	5	1	4	0	0	5	2	7	0	0	10	1	3	0	4	9	2	7	81	70	1	22	0	0	1	6	2	0	5	5	5	24	1	3	0	0	3	1	1	2	1	0	0	0	0	2	1	3	9	1	9	2	3	6	1	7	0	0	15	1	3	1	2	13	0	2	2	0	6	3	2	3	1	4	0	0	12	11	2	0	1	3	1	0	6	1	0	7	1	4	0	2	9	0	0	5	0	10	1	0	34	2	2	0	3	1	1	20	0	3	0	0	1	0	7	1	0	2	3	1	0	1	0	2	0	1	0	0	2	11	0	1	0	1	0	4	1	0	2	1	2	0	0	0	4	3	35	0	0	0	1	0	0	1	3	20	0	4	11	0	0	10	43	0	0	1	0	41	0	1	0	0	1	0	0	0	1	1	3	0	1	1	1	3	11	0	2	25	8	1	19	0	0	6	10	1	0	5	1	0	0	4	0	2	2	1	0	4	0	3	0	1	0	2	0	206	2	1	0	1	0	2	41	1	0	1	1	10	3	2	0	6	2	0	2	2	0	1	0	1	1	4	0	0	1	1	2	2	43	0	1	0	11	0	2	3	0	1	0	1	0	4	2	0	19	25	2	21	0	0	1	0	5	11	7	0	2	0	2	0	1	3	2	0	23	0	1	0	2	1	1	1	0	1	1	1	1	1	14	0	18	1	0	3	0	0	15	4
Running to Stand Still	1	1	3	3	4	2	3	0	2	0	2	2	1	0	1	1	4	1	0	0	0	0	1	1	4	1	1	1	0	3	2	0	7	5	0	0	0	3	2	3	4	1	2	0	5	1	1	2	6	0	1	4	0	0	0	2	0	1	3	2	0	0	5	2	2	2	0	1	2	0	1	1	0	0	1	1	0	1	0	0	2	3	0	2	2	2	2	1	2	1	2	3	2	0	0	1	1	0	0	0	3	1	1	2	2	0	5	0	2	0	2	1	1	2	1	1	1	0	1	0	0	0	2	0	2	0	1	2	1	1	1	3	1	1	1	1	2	0	1	0	6	1	0	3	1	0	2	0	1	0	1	1	4	4	0	0	1	0	0	5	0	1	1	1	0	3	3	1	1	2	6	4	3	0	1	5	1	0	2	2	1	2	0	0	1	1	0	0	6	5	0	1	2	2	1	0	0	2	0	0	1	0	1	2	1	0	3	1	1	0	1	3	0	0	0	2	1	0	2	1	0	1	1	1	0	3	1	0	2	4	0	3	0	1	0	1	2	0	0	2	3	1	0	0	1	1	4	1	0	6	4	0	1	0	3	0	0	0	2	0	0	1	0	0	0	3	1	2	0	1	2	0	3	2	0	0	0	5	1	4	0	1	1	1	0	1	0	0	1	0	3	2	0	0	0	2	0	1	0	1	0	0	2	0	0	0	1	0	1	0	1	0	1	0	2	3	2	0	6	0	0	2	0	0	0	3	1	0	4	1	2	1	0	0	1	0	1	1	1	0	2	0	0	0	0	2	3	1	2	0	0	1	2	0	0	4	0	2	1	0	2	3	0	0	1	1	4	1	0	0	1	0	0	0	1	0	5	2	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	2	2	2	0	4	2	2	4	0	1	1	0	3	2	4	0	6	1	3	2	7	0	0	2	2	1	2	2	2	0	0	2	1	1	1	0	0	0	0	1	1	1	1	1	5	1	2	4	3	2	1	0	0	0	0	1	2	2	0	1	1	1	1	1	1	1	0	0	2	1	1	1	2	1	0	0	3	0	0	1	5	1	0	1	1	0	2	0	3	1	2	0	0	0	0	1	1	0	1	0	0	8	0	0	2	2
LOL	5	1	1	0	0	1	0	3	0	0	3	1	2	1	0	1	2	2	1	1	0	4	4	2	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	1	0	2	1	1	4	0	0	1	0	0	1	1	0	0	0	1	0	0	5	0	0	1	2	1	0	0	1	0	0	0	2	0	0	1	1	0	0	1	0	2	8	0	0	2	2	1	1	0	8	2	4	1	3	2	1	1	0	0	0	2	0	2	1	0	0	0	0	1	0	6	0	1	0	1	0	2	1	0	0	0	0	1	1	0	1	0	0	1	1	4	0	0	0	2	1	1	1	2	0	1	0	0	0	3	1	0	0	0	3	0	0	1	0	1	0	0	0	1	2	6	0	0	2	0	0	1	2	0	3	3	0	1	0	1	0	0	1	0	0	1	1	0	0	10	0	1	1	1	0	2	1	0	0	0	2	0	0	0	2	1	0	4	1	0	0	1	0	2	0	0	0	0	4	0	1	1	0	0	3	1	0	2	1	0	4	0	0	1	0	0	0	0	0	0	1	0	0	2	2	1	0	1	2	1	0	1	2	1	2	0	7	0	0	1	0	0	1	5	0	0	1	2	1	1	5	1	0	0	4	2	0	2	4	0	0	0	3	1	3	3	1	0	0	0	0	8	1	0	2	0	0	0	0	2	2	0	0	1	2	0	1	1	0	1	0	0	0	2	4	4	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	4	1	1	1	1	0	0	0	0	0	0	0	2	1	2	0	4	3	1	0	3	0	2	2	3	1	1	0	4	0	0	1	0	0	0	0	0	0	0	1	0	2	1	1	2	0	0	2	0	0	0	1	0	0	2	0	1	1	4	1	0	1	0	0	0	12	0	0	1	2	0	1	1	0	0	2	0	0	0	0	0	2	0	1	3	1	1	1	2	6	0	1	1	1	0	0	1	1	0	0	2	0	1	0	0	0	1	0	0	2	0	3	2	0	2	0	0	1	0	0	0	0	1	0	0	0	3	1	0	0	0	4	1	0	1	0	1	1	0	4	0	0	1	0	1	0	0	2	7	1	0	0	0	9	0	0	0	1	5	0	0	0	3	0	2	0	0	2	3	1	1	2	0	0
Puttin' on the G.R.I.T.S.	2	61	17	2	6	1	4	8	22	42	1	3	11	7	4	10	1	5	12	1	1	19	2	19	1	6	9	3	6	2	5	0	1	0	7	5	11	12	6	0	3	7	35	5	3	3	6	10	1	2	1	5	7	34	10	3	3	20	16	14	4	8	18	0	6	1	4	4	6	1	2	5	9	34	5	14	3	13	3	16	11	4	5	3	2	11	13	2	4	7	3	11	1	1	2	1	0	0	3	6	3	5	9	1	6	6	2	3	3	1	1	3	3	6	94	4	0	8	2	1	3	1	6	16	12	4	9	16	17	2	51	2	13	7	6	16	3	4	4	3	2	3	1	10	0	4	5	7	6	1	8	5	10	6	2	19	1	10	1	2	1	4	11	5	6	12	0	0	2	9	3	4	4	15	3	24	5	6	3	3	4	1	12	0	13	1	2	3	4	12	5	4	6	8	1	1	3	3	0	1	1	1	9	2	1	2	7	10	0	12	6	1	9	5	1	3	7	3	5	3	4	1	2	0	3	3	6	11	30	1	1	1	1	1	2	7	3	17	2	3	2	3	9	3	5	6	13	9	0	3	2	2	5	6	2	1	2	5	1	1	2	9	6	3	2	2	2	4	0	0	6	4	5	16	9	6	3	0	3	1	2	8	9	1	0	2	12	0	2	14	2	1	12	3	12	3	1	0	2	7	3	5	39	2	2	3	0	5	15	1	7	5	50	2	8	3	3	2	5	2	1	0	1	9	29	4	2	0	0	5	5	2	3	10	10	4	1	11	4	0	4	13	4	2	3	1	2	1	1	3	1	0	3	4	1	5	4	3	8	10	6	1	1	0	6	3	9	0	2	10	6	4	2	5	23	2	3	5	8	2	2	9	14	2	0	6	5	13	2	0	2	3	10	9	10	0	2	11	1	4	2	1	6	2	10	1	6	4	1	8	2	0	3	17	3	0	5	4	2	2	4	8	1	2	2	1	0	6	14	1	3	0	3	0	9	2	2	0	2	0	1	3	2	2	60	31	24	0	4	1	3	6	0	2	4	4	1	5	8	1	4	2	2	0	11	1	7	2	2	3	0	2	2	5	5	1	0	22	0	4	0	0	1	4	4	0	7	2	5	2	5	14	1	6	5	1	12	1	4	9
